"Event variant/page","Source","Scene evidence","Role","Character","Lines (zero based)","Classification","Priority","Previous art","Resolved art","Action"
"story-stormveil-village-4-0/page:5/A Searching Reason","src/data/storylines.ts:109","The clerk's stand","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:5/A Searching Reason","src/data/storylines.ts:109","The clerk's stand","actor","Ledger Clerk","0,1,2","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:6/A Blank Reason","src/data/storylines.ts:116","The clerk's stand","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:6/A Blank Reason","src/data/storylines.ts:116","The clerk's stand","actor","Ledger Clerk","0,1,2","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:7/Posted Twice","src/data/storylines.ts:123","The board, slates clacking in the wind","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-sanctum.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:7/Posted Twice","src/data/storylines.ts:123","The board, slates clacking in the wind","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:8/Elder Vanta","src/data/storylines.ts:129","The board, an old man reading slates like weather","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:8/Elder Vanta","src/data/storylines.ts:129","The board, an old man reading slates like weather","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:9/The First Bout","src/data/storylines.ts:137","The arena floor, chalk dust, the crowd leaning in","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-4-0.webp","/scenes/story/story-stormveil-village-4-0.webp","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:9/The First Bout","src/data/storylines.ts:137","The arena floor, chalk dust, the crowd leaning in","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:0/The Market Breaks","src/data/storylines.ts:149","The market square mid-riot, stalls going over, the riot bell hammering","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-15-1.webp","/scenes/story/story-stormveil-village-15-1.webp","Retain reviewed accurate artwork."
"story-stormveil-village-15-1/page:0/The Market Breaks","src/data/storylines.ts:149","The market square mid-riot, stalls going over, the riot bell hammering","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:1/The Empty Why","src/data/storylines.ts:155","A cornered stall, a button-seller with bleeding knuckles","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-threshold.webp","/scenes/story/story-stormveil-village-15-1.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:2/The Kage in the Square","src/data/storylines.ts:161","The square, a big man walking into the riot unarmed","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-threshold.webp","/scenes/story/story-stormveil-village-15-1.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:2/The Kage in the Square","src/data/storylines.ts:161","The square, a big man walking into the riot unarmed","actor","Kage Raiko Veyr","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-15-1/page:3/After the Kage","src/data/storylines.ts:167","The square's edge, Raiko moving crowd to crowd, beloved","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-sanctum.webp","/scenes/story/story-stormveil-village-15-1.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:3/After the Kage","src/data/storylines.ts:167","The square's edge, Raiko moving crowd to crowd, beloved","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-15-1/page:4/Booked Guilty","src/data/storylines.ts:175","The square gates chained, the Tempest Guard forming a line","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/story-stormveil-village-15-1.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-15-1/page:4/Booked Guilty","src/data/storylines.ts:175","The square gates chained, the Tempest Guard forming a line","actor","Tempest Guard Captain","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-15-1/page:5/The Captain's Line","src/data/storylines.ts:181","The wagon, Besh looking small between two guards","background","","0,1,2","KEEP","5","/scenes/story/story-stormveil-village-15-1.webp","/scenes/story/story-stormveil-village-15-1.webp","Retain reviewed accurate artwork."
"story-stormveil-village-25-2/page:0/The Lifted Scroll","src/data/storylines.ts:192","Mira's rooftop, rain coming, a stolen scroll between you","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-25-2.webp","/scenes/story/story-stormveil-village-25-2.webp","Retain reviewed accurate artwork."
"story-stormveil-village-25-2/page:0/The Lifted Scroll","src/data/storylines.ts:192","Mira's rooftop, rain coming, a stolen scroll between you","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-25-2/page:1/The Name on the Board","src/data/storylines.ts:198","The rooftop, wind pulling at an old slate Mira keeps wrapped in oilcloth","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/story-stormveil-village-25-2.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:1/The Name on the Board","src/data/storylines.ts:198","The rooftop, wind pulling at an old slate Mira keeps wrapped in oilcloth","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-25-2/page:2/The Same Hand","src/data/storylines.ts:207","The rooftop, the lead token flat on the scroll","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-stormveil-village-25-2.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:2/The Same Hand","src/data/storylines.ts:207","The rooftop, the lead token flat on the scroll","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:3/Vanta Reads the Wax","src/data/storylines.ts:215","Vanta's rail-side shack, purse ledgers stacked to the ceiling","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-intimate.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:3/Vanta Reads the Wax","src/data/storylines.ts:215","Vanta's rail-side shack, purse ledgers stacked to the ceiling","actor","Elder Vanta","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta-solemn.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:4/The Listener","src/data/storylines.ts:223","The shack, rain starting, a shape on the skylight","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-sanctum.webp","/scenes/story/cinematic/storywide/stormveil-intimate.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-25-2/page:5/Sealed and Sent","src/data/storylines.ts:229","The rooftops in the rain, the informant between you and the tower","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-25-2.webp","/scenes/story/story-stormveil-village-25-2.webp","Retain reviewed accurate artwork."
"story-stormveil-village-25-2/page:5/Sealed and Sent","src/data/storylines.ts:229","The rooftops in the rain, the informant between you and the tower","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-35-3/page:0/Down the Well That Isn't","src/data/storylines.ts:241","The maintenance shaft under the arena, rungs slick, a hum below","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-35-3.webp","/scenes/story/story-stormveil-village-35-3.webp","Retain reviewed accurate artwork."
"story-stormveil-village-35-3/page:0/Down the Well That Isn't","src/data/storylines.ts:241","The maintenance shaft under the arena, rungs slick, a hum below","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-35-3/page:1/Eleven Pipes","src/data/storylines.ts:247","The engine floor: eleven great pipes running from the arena floor overhead into a banked crystal reserve","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/cinematic/storywide/stormveil-eleven-pipes-v1.webp","Integrated reviewed replacement: stormEngineFixed. See production.json for reference lock and production brief."
"story-stormveil-village-35-3/page:2/The First Storm","src/data/storylines.ts:253","An alcove off the engine floor, founders' slates behind wax","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/cinematic/storywide/stormveil-eleven-pipes-v1.webp","Integrated reviewed replacement: stormEngineFixed. See production.json for reference lock and production brief."
"story-stormveil-village-35-3/page:2/The First Storm","src/data/storylines.ts:253","An alcove off the engine floor, founders' slates behind wax","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-35-3/page:3/Kesa's Whisper","src/data/storylines.ts:262","The alcove, Mira's lamp low","background","","0,1,2,3,4","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/cinematic/storywide/stormveil-eleven-pipes-v1.webp","Integrated reviewed replacement: stormEngineFixed. See production.json for reference lock and production brief."
"story-stormveil-village-35-3/page:3/Kesa's Whisper","src/data/storylines.ts:262","The alcove, Mira's lamp low","actor","Mira Volt","0,1,2,3,4","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-35-3/page:4/The Warden of the Reserve","src/data/storylines.ts:271","The engine floor, a founders' construct unfolding from the pipework","background","","0,1,2,3,4","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/cinematic/storywide/stormveil-eleven-pipes-v1.webp","Integrated reviewed replacement: stormEngineFixed. See production.json for reference lock and production brief."
"story-stormveil-village-35-3/page:5/State Your Reason","src/data/storylines.ts:278","The engine floor, the Warden between you and the reserve","background","","0,1,2,3","REPLACE","3","/scenes/story/story-stormveil-village-35-3.webp","/scenes/story/cinematic/storywide/stormveil-eleven-pipes-v1.webp","Integrated reviewed replacement: stormEngineFixed. See production.json for reference lock and production brief."
"story-stormveil-village-35-3/page:5/State Your Reason","src/data/storylines.ts:278","The engine floor, the Warden between you and the reserve","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-50-4/page:0/The Rite of the Posted Rival","src/data/storylines.ts:290","The arena at noon, banners up, the board scrubbed clean for the rite","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-50-4.webp","/scenes/story/story-stormveil-village-50-4.webp","Retain reviewed accurate artwork."
"story-stormveil-village-50-4/page:0/The Rite of the Posted Rival","src/data/storylines.ts:290","The arena at noon, banners up, the board scrubbed clean for the rite","actor","Ledger Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-50-4/page:1/Raiko's Dare","src/data/storylines.ts:296","The rite chalk, Raiko grinning like the whole village's uncle","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-intimate.webp","/scenes/story/story-stormveil-village-50-4.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-50-4/page:1/Raiko's Dare","src/data/storylines.ts:296","The rite chalk, Raiko grinning like the whole village's uncle","actor","Kage Raiko Veyr","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-50-4/page:2/The Missing Chalk Line","src/data/storylines.ts:305","The rite chalk, the crowd noise far away for a moment","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-stormveil-village-50-4.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-50-4/page:2/The Missing Chalk Line","src/data/storylines.ts:305","The rite chalk, the crowd noise far away for a moment","actor","Kage Raiko Veyr","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","/portraits/cinematic/storywide/kage-raiko-veyr.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-50-4/page:3/Supply Lines","src/data/storylines.ts:313","The board's shadow, Mira pretending to check a cable anchor","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-sanctum.webp","/scenes/story/story-stormveil-village-50-4.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-50-4/page:3/Supply Lines","src/data/storylines.ts:313","The board's shadow, Mira pretending to check a cable anchor","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-50-4/page:4/The Twin Tempest","src/data/storylines.ts:321","The rite floor, two duelists uncoiling like paired lightning","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-50-4.webp","/scenes/story/story-stormveil-village-50-4.webp","Retain reviewed accurate artwork."
"story-stormveil-village-65-5/page:0/The Ravine Order","src/data/storylines.ts:333","The tower gatehouse, an order with fresh wax and no clerk's initials","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-65-5.webp","/scenes/story/story-stormveil-village-65-5.webp","Retain reviewed accurate artwork."
"story-stormveil-village-65-5/page:0/The Ravine Order","src/data/storylines.ts:333","The tower gatehouse, an order with fresh wax and no clerk's initials","actor","Tempest Guard Captain","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-65-5/page:1/The Ninth Share","src/data/storylines.ts:342","The gatehouse, the order flat between you","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/story-stormveil-village-65-5.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-65-5/page:1/The Ninth Share","src/data/storylines.ts:342","The gatehouse, the order flat between you","actor","Tempest Guard Captain","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-65-5/page:2/The Camp That Keeps Its Anger","src/data/storylines.ts:350","The ravine camp: cook fires, mended tents, slates nailed to posts with reasons written large","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-ravine-camp-v1.webp","Integrated reviewed replacement: stormRavineCamp. See production.json for reference lock and production brief."
"story-stormveil-village-65-5/page:2/The Camp That Keeps Its Anger","src/data/storylines.ts:350","The ravine camp: cook fires, mended tents, slates nailed to posts with reasons written large","actor","Rebel Medic","0,1,2,3","VARIANT","1","/portraits/cinematic/storywide/rebel-medic.webp?v=891202c8e","/portraits/cinematic/storywide/rebel-medic-plain-band-v2.webp?v=891202c8e","Integrated supported story-state variant: rebelMedicResting. See production.json for reference lock and production brief."
"story-stormveil-village-65-5/page:3/The Rescued Slates","src/data/storylines.ts:356","A dry cave wall racked with hundreds of confiscated reason-slates","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-ravine-camp-v1.webp","Integrated reviewed replacement: stormRavineCamp. See production.json for reference lock and production brief."
"story-stormveil-village-65-5/page:3/The Rescued Slates","src/data/storylines.ts:356","A dry cave wall racked with hundreds of confiscated reason-slates","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-grieving.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-65-5/page:4/Eight Riders","src/data/storylines.ts:366","The ravine mouth, dust rising on the valley road","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-ravine-camp-v1.webp","Integrated reviewed replacement: stormRavineCamp. See production.json for reference lock and production brief."
"story-stormveil-village-65-5/page:4/Eight Riders","src/data/storylines.ts:366","The ravine mouth, dust rising on the valley road","actor","Rebel Medic","0,1,2,3","VARIANT","1","/portraits/cinematic/storywide/rebel-medic.webp?v=891202c8e","/portraits/cinematic/storywide/rebel-medic-plain-band-v2.webp?v=891202c8e","Integrated supported story-state variant: rebelMedicResting. See production.json for reference lock and production brief."
"story-stormveil-village-65-5/page:5/The Ranking Witness","src/data/storylines.ts:372","The ravine mouth, the squad dismounting with ceremony","background","","0,1,2,3","REPLACE","3","/scenes/story/story-stormveil-village-65-5.webp","/scenes/story/cinematic/storywide/stormveil-ravine-camp-v1.webp","Integrated reviewed replacement: stormRavineCamp. See production.json for reference lock and production brief."
"story-stormveil-village-75-6/page:0/The Estate Closure","src/data/storylines.ts:384","The board at dawn, a new slate in the estate column, Mira staring at it","background","","0,1,2,3","REPLACE","3","/scenes/story/story-stormveil-village-75-6.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-75-6/page:0/The Estate Closure","src/data/storylines.ts:384","The board at dawn, a new slate in the estate column, Mira staring at it","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-75-6/page:1/The Routing Mark","src/data/storylines.ts:393","The board, Mira's finger under the slate's corner","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-intimate.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-75-6/page:1/The Routing Mark","src/data/storylines.ts:393","The board, Mira's finger under the slate's corner","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-75-6/page:2/Storm Rules","src/data/storylines.ts:401","Mira's rooftop, the plan chalked on slate, her hands steady","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-stormveil-village-25-2.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-75-6/page:2/Storm Rules","src/data/storylines.ts:401","Mira's rooftop, the plan chalked on slate, her hands steady","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-75-6/page:3/Main Card","src/data/storylines.ts:409","The arena floor, the estate slate hung over the bell, the crowd enormous","background","","0,1,2,3","REMAP","3","/scenes/story/story-stormveil-village-75-6.webp","/scenes/story/story-stormveil-village-50-4.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-85-7/page:0/Fees Waived","src/data/storylines.ts:421","The square under a bruise-green sky, clerks posting free bouts as fast as chalk allows","background","","0,1,2,3","KEEP","5","/scenes/story/story-stormveil-village-85-7.webp","/scenes/story/story-stormveil-village-85-7.webp","Retain reviewed accurate artwork."
"story-stormveil-village-85-7/page:0/Fees Waived","src/data/storylines.ts:421","The square under a bruise-green sky, clerks posting free bouts as fast as chalk allows","actor","Tempest Guard Captain","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","/portraits/cinematic/storywide/tempest-guard-captain.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-85-7/page:1/The Balloon Payment","src/data/storylines.ts:427","The rail, Harrow with a valise and no intention of staying","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-stormveil-village-85-7.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-85-7/page:1/The Balloon Payment","src/data/storylines.ts:427","The rail, Harrow with a valise and no intention of staying","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-85-7/page:2/The Anomaly, Again","src/data/storylines.ts:436","The rail, Harrow looking at her own valise like it betrayed her","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-stormveil-village-85-7.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-85-7/page:2/The Anomaly, Again","src/data/storylines.ts:436","The rail, Harrow looking at her own valise like it betrayed her","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
