system,id,currency,amount,cadence,authority,notes
hunt-mission,hunt-ancient-chakra-beast,boneCharms,3,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ancient-chakra-beast,auraDust,40,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ancient-chakra-beast,fateShards,1,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-worldstorm-dragon,ryo,1800,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-worldstorm-dragon,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-worldstorm-dragon,boneCharms,3,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-worldstorm-dragon,auraDust,40,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-worldstorm-dragon,fateShards,1,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-d-supply-trail,ryo,75,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-d-supply-trail,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
field-mission,fetch-c-border-scout,ryo,190,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-c-border-scout,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
field-mission,fetch-b-enemy-cache,ryo,420,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-b-enemy-cache,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
field-mission,fetch-b-enemy-cache,boneCharms,1,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-a-black-route,ryo,900,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-a-black-route,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
field-mission,fetch-a-black-route,boneCharms,2,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-a-black-route,auraDust,20,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-s-shadow-front,ryo,2100,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-s-shadow-front,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
field-mission,fetch-s-shadow-front,boneCharms,3,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-s-shadow-front,auraDust,45,per daily claim,api/missions/_mission-catalog.ts,
field-mission,fetch-s-shadow-front,fateShards,1,per daily claim,api/missions/_mission-catalog.ts,
academy,academy-trial,xp,40,once per account,api/missions/_mission-catalog.ts,
academy,academy-trial,ryo,30,once per account,api/missions/_mission-catalog.ts,
academy,academy-trial,stamina,5,once per account,api/missions/_mission-catalog.ts,
academy,academy-checklist,xp,150,once per account,api/missions/_mission-catalog.ts,
academy,academy-checklist,ryo,120,once per account,api/missions/_mission-catalog.ts,
academy,academy-checklist,stamina,10,once per account,api/missions/_mission-catalog.ts,
academy,academy-checklist,fateShards,2,once per account,api/missions/_mission-catalog.ts,
daily-login,level-scaled-ryo,ryo,500+100*level (cap 8000),daily,api/player/_daily-login.ts,
daily-login,streak-shards,fateShards,5,every 7 streak days,api/player/_daily-login.ts,
war-crate,legendary-war-crate,ryo,500,per crate,api/inventory/_war-crate.ts,
war-crate,legendary-war-crate,honorSeals,10,per crate,api/inventory/_war-crate.ts,
clan-war,shinobi-pvp-challenge-win,territoryControlScrolls,5,per finalized win,api/clan/war/_war-points.ts,Only shinobi PvP challenge winners; exactly-once server settlement.
territory,controlled-sector-daily,warResources,25,per controlled sector/day,api/_war-economy.ts,
territory,controlled-sector-daily,honorSeals,1,per controlled sector/day,api/_war-economy.ts,
